Date : 2025-11-22 23:58:23
Directory : c:\Users\divya\trading-simulator\frontend\components
Total : 57 files,  765 codes, 0 comments, 76 blanks, all 841 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\divya\trading-simulator\frontend\components\skeletons\StockChartSkeleton.tsx | TypeScript JSX |          5 |          0 |          1 |          6 |
| c:\Users\divya\trading-simulator\frontend\components\stocks\StockFilterTab.tsx        | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\Users\divya\trading-simulator\frontend\components\stocks\StockFilters.tsx          | TypeScript JSX |         28 |          0 |          3 |         31 |
| c:\Users\divya\trading-simulator\frontend\components\stocks\StockSearch.tsx           | TypeScript JSX |         65 |          4 |         12 |         81 |
| c:\Users\divya\trading-simulator\frontend\components\stocks\StockSorter.tsx           | TypeScript JSX |         23 |          0 |          3 |         26 |
| c:\Users\divya\trading-simulator\frontend\components\stocks\StocksCardsMobile.tsx     | TypeScript JSX |         72 |          0 |          6 |         78 |
| c:\Users\divya\trading-simulator\frontend\components\stocks\StocksList.tsx            | TypeScript JSX |         39 |          3 |          5 |         47 |
| c:\Users\divya\trading-simulator\frontend\components\stocks\StocksTableDesktop.tsx    | TypeScript JSX |        104 |          8 |         14 |        126 |
| c:\Users\divya\trading-simulator\frontend\components\stocks\WatchlistButton.tsx       | TypeScript JSX |         39 |          0 |          6 |         45 |
| c:\Users\divya\trading-simulator\frontend\components\trade\BuyModal.tsx               | TypeScript JSX |         68 |          0 |         13 |         81 |
| c:\Users\divya\trading-simulator\frontend\components\trade\BuySellPanel.tsx           | TypeScript JSX |        117 |          4 |         22 |        143 |
| c:\Users\divya\trading-simulator\frontend\components\trade\SellModal.tsx              | TypeScript JSX |         68 |          0 |         13 |         81 |
| c:\Users\divya\trading-simulator\frontend\components\ui\Badge.tsx                     | TypeScript JSX |          7 |          0 |          1 |          8 |
| c:\Users\divya\trading-simulator\frontend\components\ui\Button.tsx                    | TypeScript JSX |         19 |          0 |          2 |         21 |
| c:\Users\divya\trading-simulator\frontend\components\ui\Card.tsx                      | TypeScript JSX |         10 |          0 |          1 |         11 |
| c:\Users\divya\trading-simulator\frontend\components\ui\Container.tsx                 | TypeScript JSX |          7 |          0 |          1 |          8 |
| c:\Users\divya\trading-simulator\frontend\components\ui\NavLink.tsx                   | TypeScript JSX |         17 |          0 |          3 |         20 |
| c:\Users\divya\trading-simulator\frontend\components\ui\ProfileDropDown.tsx           | TypeScript JSX |        113 |         11 |         20 |        144 |
| c:\Users\divya\trading-simulator\frontend\components\ui\ThemeToggle.tsx               | TypeScript JSX |         13 |          1 |          2 |         16 |
| Total                                                                                 |                |        765 |          0 |         76 |        841 |
+---------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
